date,home_team,away_team,score_reel,score_predit,xG_predit_dom,xG_predit_ext,xG_reel_dom,xG_reel_ext,has_real_xg,buts_reels_dom,buts_reels_ext,erreur_xG,prob_home_win,prob_draw,prob_away_win,resultat_predit,resultat_reel,resultat_correct,score_exact,xG_coherent,verdict
11/06,Mexico,South Africa,2-0,1-0,1.48,0.65,1.46,0.07,True,2,0,0.6,0.5672,0.2777,0.1551,Dom.,Dom.,True,False,True,🟢 Bon résultat
11/06,South Korea,Czech Republic,2-1,1-0,1.58,0.91,2.3,0.87,True,2,1,0.76,0.5266,0.2608,0.2125,Dom.,Dom.,True,False,True,🟢 Bon résultat
12/06,Canada,Bosnia and Herzegovina,1-1,2-0,2.96,0.66,1.23,0.96,True,1,1,2.03,0.8315,0.1151,0.0535,Dom.,Nul,False,False,False,🔴 Raté
12/06,USA,Paraguay,4-1,1-0,1.63,0.54,1.42,0.54,True,4,1,0.21,0.6359,0.2484,0.1157,Dom.,Dom.,True,False,True,🟢 Bon résultat
13/06,Australia,Turkey,2-0,1-0,1.64,0.69,1.18,1.36,True,2,0,1.13,0.5988,0.2494,0.1518,Dom.,Dom.,True,False,True,🟢 Bon résultat
13/06,Haiti,Scotland,0-1,1-1,1.91,1.22,1.05,1.05,True,0,1,1.03,0.5264,0.2415,0.2321,Dom.,Ext.,False,False,True,"🟡 Résultat raté, xG réel cohérent"
13/06,Qatar,Switzerland,1-1,1-1,1.23,2.03,0.6,3.2,True,1,1,1.8,0.2261,0.2195,0.5544,Ext.,Nul,True,True,False,✅ Score exact
13/06,Brazil,Morocco,1-1,0-1,0.27,1.05,1.26,1.37,True,1,1,1.31,0.0945,0.3474,0.5581,Ext.,Nul,False,False,True,"🟡 Résultat raté, xG réel cohérent"
14/06,Germany,Curaçao,7-1,1-1,1.69,1.13,4.22,0.41,True,7,1,3.25,0.501,0.2486,0.2503,Dom.,Dom.,True,False,False,🟢 Bon résultat
14/06,Ivory Coast,Ecuador,1-0,0-0,0.84,0.43,1.52,1.01,True,1,0,1.26,0.4236,0.4008,0.1756,Dom.,Dom.,True,False,True,🟢 Bon résultat
14/06,Netherlands,Japan,2-2,0-1,0.92,1.58,0.78,0.59,True,2,2,1.13,0.217,0.2547,0.5283,Ext.,Nul,False,False,True,"🟡 Résultat raté, xG réel cohérent"
14/06,Sweden,Tunisia,5-1,0-1,0.67,1.49,1.33,0.28,True,5,1,1.87,0.1658,0.2661,0.568,Ext.,Dom.,False,False,False,🔴 Raté
15/06,Belgium,Egypt,1-1,1-0,1.19,0.79,1.35,1.08,True,1,1,0.45,0.4558,0.2981,0.2461,Dom.,Nul,False,False,True,"🟡 Résultat raté, xG réel cohérent"
15/06,Iran,New Zealand,2-2,1-1,1.04,1.35,1.5,1.24,True,2,2,0.57,0.2867,0.2743,0.439,Ext.,Nul,True,False,True,🟢 Bon résultat
15/06,Spain,Cape Verde,0-0,2-0,2.14,0.62,2.1,0.2,True,0,0,0.46,0.7213,0.1882,0.0905,Dom.,Nul,False,False,True,"🟡 Résultat raté, xG réel cohérent"
15/06,Saudi Arabia,Uruguay,1-1,0-0,0.72,0.78,0.66,1.72,True,1,1,1.0,0.2941,0.3797,0.3262,Nul,Nul,True,False,True,🟢 Bon résultat
16/06,Austria,Jordan,3-1,1-1,1.21,1.27,1.66,0.33,True,3,1,1.39,0.3479,0.2741,0.378,Ext.,Dom.,False,False,True,"🟡 Résultat raté, xG réel cohérent"
16/06,Argentina,Algeria,3-0,1-0,1.28,0.68,1.26,0.32,True,3,0,0.38,0.5071,0.297,0.1959,Dom.,Dom.,True,False,True,🟢 Bon résultat
16/06,Iraq,Norway,1-4,0-1,0.92,1.32,0.8,2.52,True,1,4,1.32,0.258,0.2885,0.4535,Ext.,Ext.,True,False,True,🟢 Bon résultat
16/06,France,Senegal,3-1,1-0,1.09,0.9,1.79,0.53,True,3,1,1.07,0.3923,0.3117,0.296,Dom.,Dom.,True,False,True,🟢 Bon résultat
17/06,Portugal,DR Congo,1-1,1-0,1.46,0.7,0.65,0.87,True,1,1,0.98,0.5512,0.2719,0.1769,Dom.,Nul,False,False,True,"🟡 Résultat raté, xG réel cohérent"
17/06,Uzbekistan,Colombia,1-3,0-0,1.06,0.74,1.16,1.61,True,1,3,0.97,0.4199,0.3342,0.2459,Dom.,Ext.,False,False,True,"🟡 Résultat raté, xG réel cohérent"
17/06,England,Croatia,4-2,1-1,1.52,1.23,3.2,0.7,True,4,2,2.21,0.4369,0.2587,0.3043,Dom.,Dom.,True,False,False,🟢 Bon résultat
17/06,Ghana,Panama,1-0,1-1,0.99,1.51,1.25,0.73,True,1,0,1.04,0.2464,0.2616,0.492,Ext.,Dom.,False,False,True,"🟡 Résultat raté, xG réel cohérent"
18/06,Czech Republic,South Africa,1-1,1-1,1.19,1.28,1.02,1.35,True,1,1,0.24,0.3408,0.2742,0.385,Ext.,Nul,True,True,True,✅ Score exact
18/06,Mexico,South Korea,1-0,1-1,1.41,1.07,0.53,0.91,True,1,0,1.04,0.4311,0.2989,0.27,Dom.,Dom.,True,False,True,🟢 Bon résultat
18/06,Switzerland,Bosnia and Herzegovina,4-1,1-0,1.9,0.83,2.06,0.23,True,4,1,0.76,0.6275,0.2154,0.1571,Dom.,Dom.,True,False,True,🟢 Bon résultat
18/06,Canada,Qatar,6-0,2-0,2.81,0.89,4.6,0.22,True,6,0,2.46,0.7665,0.146,0.0875,Dom.,Dom.,True,False,False,🟢 Bon résultat
19/06,Turkey,Paraguay,0-1,1-0,1.83,0.92,2.17,0.32,True,0,1,0.94,0.5934,0.2139,0.1928,Dom.,Ext.,False,False,True,"🟡 Résultat raté, xG réel cohérent"
19/06,USA,Australia,2-0,1-1,1.03,1.19,1.08,0.35,True,2,0,0.89,0.3129,0.2954,0.3917,Ext.,Dom.,False,False,True,"🟡 Résultat raté, xG réel cohérent"
19/06,Scotland,Morocco,0-1,0-1,0.17,1.5,0.51,0.99,True,0,1,0.85,0.0371,0.2438,0.7191,Ext.,Ext.,True,True,True,✅ Score exact
19/06,Brazil,Haiti,3-0,1-1,1.4,1.05,1.75,0.23,True,3,0,1.17,0.448,0.2739,0.2781,Dom.,Dom.,True,False,True,🟢 Bon résultat
20/06,Ecuador,Curaçao,0-0,0-0,0.84,0.75,2.84,0.5,True,0,0,2.25,0.3459,0.3571,0.297,Nul,Nul,True,True,False,✅ Score exact
20/06,Netherlands,Sweden,5-1,2-1,2.29,1.01,2.47,0.99,True,5,1,0.2,0.6565,0.1917,0.1518,Dom.,Dom.,True,False,True,🟢 Bon résultat
20/06,Tunisia,Japan,0-4,0-1,0.7,1.39,0.05,2.13,True,0,4,1.39,0.1826,0.2876,0.5299,Ext.,Ext.,True,False,True,🟢 Bon résultat
21/06,Spain,Saudi Arabia,4-0,1-0,1.35,0.64,2.3,0.14,True,4,0,1.45,0.537,0.2919,0.1711,Dom.,Dom.,True,False,True,🟢 Bon résultat
21/06,Belgium,Iran,0-0,1-1,1.07,1.08,1.79,0.62,True,0,0,1.18,0.3493,0.2991,0.3516,Ext.,Nul,True,False,True,🟢 Bon résultat
21/06,New Zealand,Egypt,1-3,1-0,1.19,0.85,1.24,1.87,True,1,3,1.07,0.4285,0.3151,0.2564,Dom.,Ext.,False,False,True,"🟡 Résultat raté, xG réel cohérent"
21/06,Uruguay,Cape Verde,2-2,0-0,0.88,0.59,2.32,0.88,True,2,2,1.73,0.4005,0.3708,0.2287,Dom.,Nul,True,False,False,🟢 Bon résultat
