date,home_team,away_team,xg_home_reel,xg_away_reel
2026-06-11,Mexico,South Africa,1.46,0.07
2026-06-11,South Korea,Czech Republic,2.30,0.87
2026-06-12,Canada,Bosnia and Herzegovina,1.23,0.96
2026-06-12,United States,Paraguay,1.42,0.54
2026-06-13,Qatar,Switzerland,0.60,3.20
2026-06-13,Brazil,Morocco,1.26,1.37
2026-06-13,Haiti,Scotland,1.05,1.05
2026-06-13,Australia,Turkey,1.18,1.36
2026-06-14,Germany,Curaçao,4.22,0.41
2026-06-14,Ivory Coast,Ecuador,1.52,1.01
2026-06-14,Netherlands,Japan,0.78,0.59
2026-06-14,Sweden,Tunisia,1.33,0.28
2026-06-15,Belgium,Egypt,1.35,1.08
2026-06-15,Iran,New Zealand,1.50,1.24
2026-06-15,Spain,Cape Verde,2.10,0.20
2026-06-15,Saudi Arabia,Uruguay,0.66,1.72
2026-06-16,France,Senegal,1.79,0.53
2026-06-16,Iraq,Norway,0.80,2.52
2026-06-16,Argentina,Algeria,1.26,0.32
2026-06-16,Austria,Jordan,1.66,0.33
2026-06-17,Portugal,DR Congo,0.65,0.87
2026-06-17,Uzbekistan,Colombia,1.16,1.61
2026-06-17,England,Croatia,3.20,0.70
2026-06-17,Ghana,Panama,1.25,0.73
2026-06-18,Czech Republic,South Africa,1.02,1.35
2026-06-18,Mexico,South Korea,0.53,0.91
2026-06-18,Switzerland,Bosnia and Herzegovina,2.06,0.23
2026-06-18,Canada,Qatar,4.60,0.22
2026-06-19,Scotland,Morocco,0.51,0.99
2026-06-19,Brazil,Haiti,1.75,0.23
2026-06-19,United States,Australia,1.08,0.35
2026-06-19,Turkey,Paraguay,2.17,0.32
2026-06-20,Netherlands,Sweden,2.47,0.99
2026-06-20,Ecuador,Curaçao,2.84,0.50
2026-06-20,Tunisia,Japan,0.05,2.13
2026-06-20,Germany,Ivory Coast,1.89,1.22
2026-06-21,Belgium,Iran,1.79,0.62
2026-06-21,New Zealand,Egypt,1.24,1.87
2026-06-21,Spain,Saudi Arabia,2.30,0.14
2026-06-21,Uruguay,Cape Verde,2.32,0.88
2026-06-22,France,Iraq,2.67 ,0.63
2026-06-22,Norway,Senegal,2.20,1.72
2026-06-22,Argentina,Austria,2.36 ,0.53
2026-06-22,Jordan,Algeria,0.65,1.81
2026-06-23,Portugal,Uzbekistan,2.61,04
2026-06-23,Colombia,DR Congo,0.98,0.37
2026-06-23,England,Ghana,1.36,0.17
2026-06-23,Panama,Croatia,0.55,1.65
2026-06-24,Mexico,Czech Republic,1.74,0.53
2026-06-24,South Africa,South Korea,1.16,0.90
2026-06-24,Canada,Switzerland,1.66,1.11
2026-06-24,Bosnia and Herzegovina,Qatar,0.68,0.77
2026-06-24,Scotland,Brazil,1.04,4.33
2026-06-24,Morocco,Haiti,3.76,0.67
2026-06-25,United States,Turkey,2.13,3.01
2026-06-25,Paraguay,Australia,0.24,0.55
2026-06-25,Curaçao,Ivory Coast,0.50,1.31
2026-06-25,Ecuador,Germany,1.27,0.65
2026-06-25,Japan,Sweden,1.21,0.64
2026-06-25,Tunisia,Netherlands,0.62,1.85
2026-06-26,Egypt,Iran,0.84,1.97
2026-06-26,New Zealand,Belgium,0.24,3.64
2026-06-26,Cape Verde,Saudi Arabia,1.39,0.39
2026-06-26,Uruguay,Spain,0.20,0.86
2026-06-26,Norway,France,1.70,1.50
2026-06-26,Senegal,Iraq,3.01,0.14
2026-06-27,Algeria,Austria,1.67,1.49
2026-06-27,Jordan,Argentina,0.76,2.13
2026-06-27,Colombia,Portugal,1.70,0.93
2026-06-27,DR Congo,Uzbekistan,2.18,0.20
2026-06-27,Panama,England,0.66,1.56
2026-06-27,Croatia,Ghana,0.42,0.64
